what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1280340052312
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1280340052312
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1280340052390
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1280340052437
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1280340052578
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1280340052734
os,sysinfo,,,"win32",1280340052750
arch,sysinfo,,,"x86",1280340052750
ws,sysinfo,,,"win32",1280340052750
locale,sysinfo,,,"en_US",1280340052750
processors,sysinfo,,,"2",1280340052750
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1280340052750
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1280340052750
java.specification.name,sysinfo,,,"Java Platform API Specification",1280340052750
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280340052750
java.specification.version,sysinfo,,,"1.6",1280340052750
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1280340052750
java.version,sysinfo,,,"1.6.0_20",1280340052750
java.vm.info,sysinfo,,,"mixed mode, sharing",1280340052750
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1280340052750
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1280340052750
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280340052750
java.vm.specification.version,sysinfo,,,"1.0",1280340052750
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1280340052750
java.vm.version,sysinfo,,,"16.3-b01",1280340052750
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280340053093
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1280340055375
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1280340057593
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1280340057593
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1280340057656
started,bundle,org.eclipse.jst.jsf.common,1.1.9.v201001271707,"org.eclipse.jst.jsf.common",1280340058265
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1280340058359
started,bundle,org.eclipse.jst.jsf.core,1.2.5.v201001271707,"org.eclipse.jst.jsf.core",1280340058578
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1280340058578
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1280340059468
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1280340059531
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1280340059703
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1280340059812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280340086375
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280340087203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280340087218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280340087250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280340088359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280340088609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280340088625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280340089875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280340089921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343670296
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1280343684078
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1280343687921
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1280343689281
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1280343696171
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1280343696328
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1280343697062
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1280343697390
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1280343706328
started,bundle,com.google.gdt.eclipse.platform.e35,1.3.2.v201003242055,"com.google.gdt.eclipse.platform.e35",1280343706453
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1280343706859
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1280343706906
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1280343707328
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1280343707546
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1280343707718
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1280343708218
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1280343708343
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1280343708484
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1280343708734
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1280343709375
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1280343709906
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280343725562
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280343725953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343733031
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1280343733656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343737140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1280343738500
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280343740109
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280343740109
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280343742796
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280343743015
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280343743015
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1280343783781
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1280343785328
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1280343802359
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1280343819500
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1280343819515
started,bundle,org.eclipse.mylyn.java.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.ui",1280343819562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343849875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343889703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280343896062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343896937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343896937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343899000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343953078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343954421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343955406
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280343956390
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1280343965828
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1280343965859
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1280343965859
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1280343965875
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1280343965906
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1280518472421
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1280518472437
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1280518472468
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1280518472468
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1280518472468
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1280518472468
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1280518472562
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1280518472578
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1280518472593
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1280518472687
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1280518472687
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1280518472687
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1280518472859
