what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1280304883682
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1280304883682
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1280304883683
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1280304883684
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1280304883684
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1280304883685
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1280304883686
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1280304883687
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1280304883688
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1280304883689
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1280304883690
os,sysinfo,,,"win32",1280304883694
arch,sysinfo,,,"x86",1280304883694
ws,sysinfo,,,"win32",1280304883694
locale,sysinfo,,,"en_US",1280304883694
processors,sysinfo,,,"2",1280304883694
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1280304883694
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1280304883694
java.specification.name,sysinfo,,,"Java Platform API Specification",1280304883694
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280304883694
java.specification.version,sysinfo,,,"1.6",1280304883694
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1280304883694
java.version,sysinfo,,,"1.6.0_21",1280304883694
java.vm.info,sysinfo,,,"mixed mode, sharing",1280304883694
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1280304883694
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1280304883694
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280304883694
java.vm.specification.version,sysinfo,,,"1.0",1280304883694
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1280304883694
java.vm.version,sysinfo,,,"17.0-b16",1280304883694
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280304885444
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1280304885531
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1280304885537
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280304886992
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1280304887909
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280304888301
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1280304888413
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1280304888577
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1280304888595
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280304890339
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1280304902283
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280304902417
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1280304902477
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280304902662
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1280304903811
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1280304904092
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1280304904238
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1280304917583
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280304924308
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280304946295
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280304954648
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280304963216
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280304964387
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280304968407
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1280304971857
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1280304973969
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1280304975339
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280304979616
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280304994620
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1280304994854
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1280304994867
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280305002080
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280305009357
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280305010213
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280305010516
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1280305012348
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1280305013156
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280305022725
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1280305025800
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280305029354
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280305044470
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280305045268
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280305045462
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1280305049723
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1280305060480
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1280305060558
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1280305060566
